City_ID,County,Temperature (F),Month,Year
0,Alameda,55.0,January,2013
1,Alpine,40.6,January,2013
2,Amador,52.9,January,2013
3,Butte,54.8,January,2013
4,Calaveras,53.3,January,2013
5,Colusa,57.1,January,2013
6,Contra Costa,54.7,January,2013
7,Del Norte,49.0,January,2013
8,El Dorado,49.9,January,2013
9,Fresno,50.8,January,2013
10,Glenn,56.4,January,2013
11,Humboldt,49.1,January,2013
12,Imperial,66.1,January,2013
13,Inyo,52.4,January,2013
14,Kern,55.4,January,2013
15,Kings,56.4,January,2013
16,Lake,54.1,January,2013
17,Lassen,37.8,January,2013
18,Los Angeles,59.6,January,2013
19,Madera,51.5,January,2013
20,Marin,56.8,January,2013
21,Mariposa,51.3,January,2013
22,Mendocino,53.4,January,2013
23,Merced,55.8,January,2013
24,Modoc,38.6,January,2013
25,Mono,40.0,January,2013
26,Monterey,59.7,January,2013
27,Napa,57.0,January,2013
28,Nevada,48.7,January,2013
29,Orange,65.5,January,2013
30,Placer,49.9,January,2013
31,Plumas,39.8,January,2013
32,Riverside,62.0,January,2013
33,Sacramento,56.4,January,2013
34,San Benito,56.6,January,2013
35,San Bernardino,56.8,January,2013
36,San Diego,61.9,January,2013
37,San Francisco,55.8,January,2013
38,San Joaquin,55.8,January,2013
39,San Luis Obispo,59.8,January,2013
40,San Mateo,57.3,January,2013
41,Santa Barbara,60.6,January,2013
42,Santa Clara,56.3,January,2013
43,Santa Cruz,60.3,January,2013
44,Shasta,49.8,January,2013
45,Sierra,42.5,January,2013
46,Siskiyou,42.5,January,2013
47,Solano,56.2,January,2013
48,Sonoma,57.4,January,2013
49,Stanislaus,55.6,January,2013
50,Sutter,56.6,January,2013
51,Tehama,54.8,January,2013
52,Trinity,46.8,January,2013
53,Tulare,49.1,January,2013
54,Tuolumne,47.4,January,2013
55,Ventura,59.0,January,2013
56,Yolo,57.0,January,2013
57,Yuba,55.4,January,2013
58,Alameda,59.4,February,2013
59,Alpine,42.6,February,2013
60,Amador,56.8,February,2013
61,Butte,60.7,February,2013
62,Calaveras,57.4,February,2013
63,Colusa,63.2,February,2013
64,Contra Costa,60.9,February,2013
65,Del Norte,52.2,February,2013
66,El Dorado,52.7,February,2013
67,Fresno,54.1,February,2013
68,Glenn,61.8,February,2013
69,Humboldt,53.2,February,2013
70,Imperial,71.2,February,2013
71,Inyo,57.8,February,2013
72,Kern,60.6,February,2013
73,Kings,62.1,February,2013
74,Lake,58.4,February,2013
75,Lassen,45.3,February,2013
76,Los Angeles,62.2,February,2013
77,Madera,54.8,February,2013
78,Marin,60.4,February,2013
79,Mariposa,54.1,February,2013
80,Mendocino,57.3,February,2013
81,Merced,61.3,February,2013
82,Modoc,44.8,February,2013
83,Mono,43.9,February,2013
84,Monterey,61.5,February,2013
85,Napa,62.2,February,2013
86,Nevada,51.7,February,2013
87,Orange,65.2,February,2013
88,Placer,53.0,February,2013
89,Plumas,47.3,February,2013
90,Riverside,65.5,February,2013
91,Sacramento,62.9,February,2013
92,San Benito,59.2,February,2013
93,San Bernardino,62.0,February,2013
94,San Diego,63.0,February,2013
95,San Francisco,58.7,February,2013
96,San Joaquin,62.6,February,2013
97,San Luis Obispo,62.2,February,2013
98,San Mateo,59.2,February,2013
99,Santa Barbara,61.1,February,2013
100,Santa Clara,58.8,February,2013
101,Santa Cruz,61.2,February,2013
102,Shasta,55.3,February,2013
103,Sierra,46.6,February,2013
104,Siskiyou,48.0,February,2013
105,Solano,63.0,February,2013
106,Sonoma,61.9,February,2013
107,Stanislaus,61.0,February,2013
108,Sutter,64.0,February,2013
109,Tehama,59.5,February,2013
